epoch,train_loss,train_acc,val_loss,val_acc,val_bleu4
1,3.9855381657902043,0.28743467774353476,3.357799628424266,0.3285525881965051,0.10174044830438712
2,3.1404376266101677,0.35384563848318373,3.1241866217719183,0.35229146060006594,0.11024000965005122
3,2.7575277505210414,0.3916153021573094,3.029326896818857,0.35756676557863504,0.14043971146910955
4,2.4624048559048686,0.42402519094198043,2.999701117712354,0.3641608968018464,0.14069692604729955
5,2.2141184380260137,0.4573227924427174,3.0009570424518888,0.36275964391691395,0.1223507832033436
6,1.9993158228481158,0.4923790700790567,3.037073180789039,0.36135839103198153,0.12457581466440754
7,1.8035574591578767,0.5290600294787619,3.0821047926705982,0.3561655126937026,0.11907984996350277
8,1.62675180374243,0.5660592255125285,3.1230675530812095,0.35756676557863504,0.11607030980910568
9,1.478545402566465,0.5996583143507973,3.174333723764571,0.35426969996702934,0.10933234242272555
10,1.3477731825063786,0.6297735495109206,3.2356643979511563,0.3560006594131223,0.11154265153939356
11,1.2261395650549818,0.658481843762562,3.300271185617598,0.35138476755687437,0.10542208024067805
12,1.1222803714557197,0.6870393943454375,3.3634222878350153,0.35047807451368285,0.1191516279498694
13,1.0441774594517181,0.7050783867077582,3.4127316210005016,0.3487471150675898,0.11079588502728288
14,0.9723622776068057,0.7253617848050382,3.4666434810275124,0.3475107154632377,0.0995648567933646
15,0.9039473099449572,0.7429150475680022,3.5524256834908137,0.34602703593801515,0.0940190753838311
